Metric,Baseline,Proposed,Improvement (%)
Avg Rider Wait (min),1.699601298435,0.6549668480049999,61.5
P50 ETA Error (min),2.087953510022781,4.0177922969185405,-92.4
P90 ETA Error (min),7.6982074496094866,7.833459619163077,-1.8
Order Delay Rate (%),13.44,8.09,39.8
Rider Idle Time (min),5.699601298435,4.6549668480049995,18.3
